#A	Z, jolla halutaan 
#A	b+	b-
60	28	28
61	28	28
62	28	28
63	29	29
64	28	30
65	29	29
66	30	30
67	30	30
68	30	30
69	31	31
70	30	32
71	31	31
72	32	32
73	32	32
74	32	34
75	33	33	
76	32	34
77	34	34
78	34	36
79	35	35
80	34	36
81	35	35
82	34	36
83	36	36
84	36	38
85	37	37
86	36	38
87	37	38
88	38	38
89	39	39
90	40	40
91	40	40
92	40	42
93	41	41
94	40	42
95	42	42
96	40	44
97	42	42
98	42	44
99	44	44
100	42	44
101	44	44
102	44	46
103	45	45
104	44	46
105	46	46
106	46	48
107	47	47
108	46	48
109	47	47
110	46	48
111	48	48
112	48	50
113	48	49
114	48	50
115	49	50
116	48	50
117	50	50
118	50	50
119	50	50
120	50	52
121	51	51
122	50	52
123	51	52
124	50	54
125	52	52
126	52	54
127	53	53
128	52	54
129	54	54
130	54	56
131	54	54
132	54	56
133	55	55
134	54	56
135	56	56
136	54	58
137	56	56
138	56	58
139	57	57
140	58	58
141	59	59
142	58	60
143	60	60
144	60	62
145	60	60
146	60	60
147	62	62
148	60	62
149	62	62
150	60	62
151	63	63
152	62	64
153	
154
155
156
157
158

